File,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetch-misses,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses
500.perlbench_r.test,1.01581E+11,1.65444E+11,480950078,7199603,29734465130,630498861,78058,29965833801,630296454,47609192000,985322858,29489966974,202924311,180737549,1439910620,277990360,4718916,24017045,4008342,2873337,47130797580,30586161,28995391159,4044517,27541384,4553388
502.gcc_r.test,1.50656E+11,2.08053E+11,1617932404,35783049,44880925176,1141117932,372736,45062379583,1143145162,56635616834,3088110370,28137970313,630946922,857925017,1103026551,1277693767,14087286,141123268,21899681,10318315,55673956722,260208418,28687997484,23866104,29815345,14812405
505.mcf_r.test,2.27499E+11,1.91577E+11,6333988181,594456098,36117725507,3046769756,162901,36070892633,3046502079,68517872261,9584778449,13657307146,878425499,1785141435,13303118,6339813543,766365261,345338106,68460190,276733615,68978269503,510763344,14080569939,34952126,239252,677240
520.omnetpp_r.test,2.2731E+11,1.26474E+11,2857062607,521955537,26139369145,599960912,86103,26030740751,598828868,42226518684,4331849656,21922132401,1316025183,465843010,121733295,2576945255,487487560,192743643,40290013,120208310,42496531676,915647395,22051582277,94096359,109787363,10452717
523.xalancbmk_r.test,1.65986E+11,2.69034E+11,312088728,18224664,63205877690,576323062,125725,63362065730,577105832,88027756838,1410958230,48795923531,504917597,267986944,1467068853,140617024,8786898,39137214,8682836,3323509,87841997322,16757011,48851978774,2946644,148348194,7164685
525.x264_r.test,79094925211,2.00286E+11,238126762,23235991,9910943966,178913709,59546,9913453248,181408820,40953899910,601026400,12480711270,119932596,108703522,559040920,155127060,19444392,23246385,6147986,12684196,41968142729,30865964,12701039741,3524641,543503,539272
531.deepsjeng_r.test,2.23456E+11,3.34505E+11,382316231,232580445,49255163426,1732685635,190652,49136192310,1731303147,82724956339,966628107,38990568222,400503478,152364034,129705205,246690466,123565348,139005746,105615578,700324,82938025332,76388839,39124268645,6361617,282250,986356
541.leela_r.test,2.62192E+11,3.24301E+11,174062421,713742,52842015873,4427642544,23387,52862499763,4434950351,95599624607,1337020938,38771469563,281305861,256612075,51428802,129929475,1366049,56726877,328612,191953,95620631598,11147349,38857475985,1925209,893715,437670
557.xz_r.test,1.23289E+11,1.40763E+11,727023187,109356628,18743737092,1202513483,459959,18954413725,1168412159,33026918421,1299247052,12013563230,565196031,203075594,27667528,654010066,77240153,66684524,33853122,7354229,31485122997,319681324,12026051528,22847630,272409,827691
600.perlbench_s.test,1.01762E+11,1.66406E+11,480943638,9981776,29470764558,632347033,77959,29502467148,632683923,47287234520,1041216293,29206013583,204997751,177668370,1489638226,301609148,6241906,24171112,4681672,3696206,47102275580,27233206,29305164671,3940342,26520227,3005398
