File,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetch-misses,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses
602.gcc_s.test,1.51097E+11,2.0716E+11,1583764591,39073268,44569825763,1151496196,372883,44780508033,1156072960,56093398568,3213155726,28680322297,653828668,860386488,1082247469,1252926393,12719154,161978517,20550964,12739691,55995505733,257810346,28863914719,24658427,33288327,11285655
605.mcf_s.test,2.33717E+11,1.90864E+11,6438916982,599515009,36137220631,3041896149,162923,36180933681,3050584511,68972311315,9416917532,13834123150,893702097,1812205154,15357794,6452342986,779818916,346066706,63071093,293629704,68922725034,511563414,13621812342,37245553,168790,400100
620.omnetpp_s.test,2.17211E+11,1.26117E+11,2860932718,534371677,26135451460,621062854,86123,26206905937,622182201,42409791746,4403936816,21971863263,1328030021,472592477,119343564,2580981232,496761823,191646531,40511159,121072137,42346391356,919823556,22013628690,97123521,36015327,8763534
623.xalancbmk_s.test,1.61987E+11,2.69245E+11,337792379,17257493,63155115668,671567399,125743,63249225782,672183972,88141265021,1223877439,48842765930,466941685,230185923,1506187852,155365679,16013885,36278313,4735518,3597919,87755175885,35251337,48721910700,2444455,63329616,8166270
625.x264_s.test,78797951179,1.98909E+11,238089185,24939676,10030041504,175392363,59549,9898644208,172080230,41517947260,593852470,12719965560,113704240,110082284,566135085,142507427,18315192,22966652,7090422,16344313,41094364330,32497589,12574792201,3299504,343329,360760
631.deepsjeng_s.test,3.00746E+11,3.55058E+11,1564010229,1414694645,52320176278,1803956052,1772720,52266535685,1803027239,88869837789,2180582880,47295397646,1531437593,171194908,141182452,286927552,169627151,1235577558,878575403,5272289,89143398150,105780492,47260162038,48278242,267569,2678522
641.leela_s.test,2.62313E+11,3.24207E+11,187378956,657162,52879329956,4432034209,23372,52876549401,4434762901,95526350622,1304855799,38751086874,293683891,260836590,57113737,170018518,771510,59343368,906805,361821,95335304027,15451156,38749175734,2342378,736026,633677
657.xz_s.test,1.20632E+11,1.33312E+11,734934479,122704438,17761469669,1133495934,459921,17740876754,1140646643,31683323719,1351357909,12003467596,566498945,207573041,25435081,646899068,77308573,57495719,27381681,7233846,31294323995,317765729,11962343056,27040520,344299,894599
508.namd_r.test,1.02236E+11,2.3653E+11,60143062,8288332,4611797168,205160483,54238,4553405417,205728616,61218106196,3494952869,13129861223,782670933,1643589090,13299374,58067802,8618722,10861663,3829418,73540641,61108504321,3159196,13147732017,739882,632429,227754
510.parest_r.test,1.14858E+11,2.39064E+11,1065580358,31365015,30299477966,633964210,52789,30157804794,644856575,88996926334,8358189275,5250480343,784694328,6180421043,16726278,1416357496,59838244,52247464,7097251,59141149,87642185793,97049419,5696885355,3027555,1113644,867745
511.povray_r.test,16467434885,30531652089,31852659,451989,4487337861,87257713,13428,4505548979,89129034,10345590342,682491716,4611130556,92917470,163438671,72966845,21289209,898203,1855728,808206,300176,9981282364,2740136,4592980692,255125,1086471,169576
519.lbm_r.test,1.65895E+11,1.26223E+11,946453612,319272032,1447932286,25170324,116458,1447062137,25514010,30205015204,6577116750,18208627313,5483727928,995233156,12556878,225588742,109338793,849350860,290545053,1605573622,30140018171,27606091,18211822347,49430417,187544,270069
526.blender_r.test,4.35976E+11,6.48853E+11,1048184959,9057799,1.11337E+11,4614807299,65475,1.11374E+11,4626208516,1.95426E+11,2868958728,29580444887,177032054,442406612,246168951,921523615,4323070,20152449,2897270,3185598,1.94563E+11,564785895,29693135485,3065191,9982363,2288212
538.imagick_r.test,1.10484E+11,2.86178E+11,177874498,479783,19714100693,38424820,19302,19701513859,38204031,20346416592,2407424891,865465986,14372228,2285174621,12517690,171237663,504031,4641086,746885,500934,20428358782,22159354,1025016082,3622783,175179,175645
544.nab_r.test,4.15545E+11,4.66737E+11,87233979,713986,55595221118,449811558,16271,55576742853,448899666,1.45295E+11,3161869699,27558821049,727554361,1989758289,17608902,67954972,951859,17113554,973551,865008,1.44885E+11,7315300,27539185508,452728,229675,206560
619.lbm_s.test,1.35409E+12,7.79584E+11,13165322766,3625305669,10279696636,335300492,836808,10293010654,336292183,1.93153E+11,52388881981,1.22592E+11,44018539487,7720657498,38580688,3542131609,1907632294,14324702593,3678658138,15746031261,1.93311E+11,208456694,1.22599E+11,398657136,177420,1089739
638.imagick_s.test,1.10578E+11,2.86441E+11,173304024,1215413,19638750871,38659372,19345,19661102181,39172676,20292929244,2410109252,934715257,17551116,2266807139,10716895,168640463,1069416,5643632,804666,378969,20481896435,24878845,1155732970,1462495,170235,170783
644.nab_s.test,4.17297E+11,4.67527E+11,89791744,953054,55615192892,451249657,16262,55472154748,448484586,1.45908E+11,3094285476,27598956521,715853610,1957234626,18724155,68254811,1023011,19415778,1007216,1231669,1.46093E+11,7724124,27346963801,586150,323052,511618
