File,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetch-misses,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses
500.perlbench_r.test,99742398641,1.65508E+11,475985493,9830825,29805978871,603431284,77979,29825581239,605986635,47468283333,996517263,29148837974,203493793,188443112,1421810054,295391757,4255307,22967120,3026954,3877660,47344753429,31314837,29284828603,3812280,27046440,4969523
502.gcc_r.test,1.5307E+11,2.13602E+11,1578804575,38244217,45694965642,1148048203,372867,45836891476,1144523820,57462971676,3165111471,29589644161,637865887,880509103,1059380207,1263187163,12489379,160480888,20817002,14099218,57735702854,249610364,29714734353,24372457,33126296,10283795
505.mcf_r.test,2.25134E+11,1.99781E+11,6302209757,603320066,36098050062,3038067402,162929,35945971164,3031659568,71078729063,9489459447,17426459512,894534692,1781886925,15710554,6401644976,764247947,339067000,70172107,273052721,71220594628,514568511,17517343082,36138105,175740,346171
520.omnetpp_r.test,2.23379E+11,1.27752E+11,2910905909,541781416,26737812534,637533078,86099,26793310045,638843658,43018002574,4450049779,22163267031,1322158892,486804837,150458432,2621467616,501124497,193060612,40930949,120839050,42860999270,942115723,22182462682,94857287,14409222,7487699
523.xalancbmk_r.test,1.54669E+11,2.69253E+11,335035256,16996213,63756688650,507606020,125707,63797580121,507567234,88211622596,1388833781,49101309280,452998117,294236353,1105574669,148350523,8510403,36664290,6614313,4941551,87960089074,17387407,49062454024,2525316,27039309,6172778
525.x264_r.test,72312267491,1.73353E+11,217578842,22674244,11095524768,179546772,59509,10968348879,180420936,31165093938,605873412,10269220837,114356444,124921308,458417523,144053839,20116318,24869131,9665773,14688649,30671810393,30522560,10274273435,3007455,214424,274590
531.deepsjeng_r.test,2.20647E+11,3.32498E+11,384092153,240442261,50078857684,1720350865,190659,50063776418,1718862385,82945523984,950178625,38630985870,387585778,138383789,311341681,242725378,122940250,129618358,89078815,1317482,82692794538,75475840,38642308350,5643139,214568,852115
541.leela_r.test,2.72174E+11,3.40755E+11,210944324,931054,56150515734,4586794050,23349,56168119961,4589113208,98962482059,1294784904,41774785564,281130786,257508202,35748878,146566641,1490544,55277473,812011,167425,98963906981,10003432,41875987115,2464321,1859055,475522
557.xz_r.test,1.19614E+11,1.35604E+11,725454726,115973046,18218936643,1148000167,459944,18282796359,1146038022,31734403924,1365823959,11951647270,571281889,209932199,27290159,652924164,79676485,64687892,30978208,7818663,31249146252,322117807,12042023011,26583198,214115,785577
600.perlbench_s.test,1.0206E+11,1.67694E+11,600483099,10431740,29882461375,593266536,77899,29938253464,595985868,47655257304,988772527,29418061464,198989256,180154817,1419013535,357046421,3568196,25881108,4016559,4691631,46618931758,32335922,28858318239,4291558,25042202,3207584
602.gcc_s.test,1.52845E+11,2.1442E+11,1526679201,36856445,45915676279,1155598015,372643,45856180634,1154468823,57669524514,3242075459,29722752100,661253499,880070073,1044355941,1285842218,12422204,162780333,20224726,14146613,56947809003,248093123,29668737979,24221629,29254045,10641401
605.mcf_s.test,2.25338E+11,1.98331E+11,6365844581,594135515,35903290217,3040284598,162913,35940769800,3048748449,71243516002,9502081436,17461594490,917909439,1760943412,15597013,6377819159,770312323,342619007,56815179,282990376,71390857237,512039775,17517622910,33641105,170702,387591
620.omnetpp_s.test,2.18395E+11,1.27857E+11,2925192602,538619702,26727941551,639302207,86137,26736685887,639269714,42941822329,4471766098,22168654001,1335108758,479412059,152971899,2621888068,499370018,194757112,41103620,121096302,42902384400,932459800,22201907297,92850293,86184939,8746819
623.xalancbmk_s.test,1.65591E+11,2.69177E+11,354353611,16100243,63779672311,699548414,125698,63851064362,700299160,88323803424,1467779937,49059216461,464460887,317319382,1121964134,153224699,9736249,32718059,4907736,6555506,87811428507,35097316,48982034672,2440988,111656518,3518412
625.x264_s.test,72160081928,1.73135E+11,204471284,23500819,11210560899,180878355,59460,11065146694,183297362,31012346312,598794435,10193969095,115995771,124455366,462919127,137877429,19610395,20494751,7680631,14377468,30724308254,32075573,10219807440,3103052,239669,432291
